row_number,video_id,clip_id,sample_id,text,label,annotation,feature_row_index,video_path,source_file_exists,source_file_size_bytes,source_file_sha256,duration_sec,text_tokens,text_valid_windows,audio_valid_windows,vision_valid_windows,text_dim,audio_dim,vision_dim,status,anomalies
12,'-NFrJFQijFE,2,'-NFrJFQijFE_2,So we coordinate with all the proper technical fields to get ready for the instrument to arrive here,0.0,Neutral,10,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-NFrJFQijFE\2.mp4,1,1452918,a54a5c144a64f5abd26b19aafa6cea8142ee08e9385fa508fa70c934f6b616c1,6.76,18,18,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
13,'-THoVjtIkeU,12,'-THoVjtIkeU_12,"What ever we turn our attention to is what grows and so if we believe that anything is possible, if we believe that social justice can be achieved and if we believe in youth, they will believe in themselves.",2.0,Positive,11,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-THoVjtIkeU\12.mp4,1,1262553,e2f148f4f2e74724dc13b3ce870a0ce6a06740cfc224f5a9b3d0a870b196e7d4,14.833333333333334,42,42,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
14,'-THoVjtIkeU,2,'-THoVjtIkeU_2,I think social justice is extremely important for young people.,1.3333333730697632,Positive,12,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-THoVjtIkeU\2.mp4,1,347917,35a6c2464ffd68dd96411edb5dc2763f0efb59f264c1d8b737e616fa6b0d1d5b,4.266666666666667,11,11,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
15,'-THoVjtIkeU,6,'-THoVjtIkeU_6,"You know that I think listening to young people, taking in what they have to say because what we have seen all around the world is the power of youth.",2.6666667461395264,Positive,13,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-THoVjtIkeU\6.mp4,1,801802,efaa55ee6394032c867046690a92c29edfd825005f0a090cca5ccb763b227f64,8.033333333333333,32,32,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
16,'-UuX1xuaiiE,1,'-UuX1xuaiiE_1,^And all of them are really being able to explore ^these different areas in depth ^in a way that really wasn't available ^before the center was here,1.6666666269302368,Positive,14,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-UuX1xuaiiE\1.mp4,1,2032933,d5bbda38fcec15817d2b87bab5dcc559d6d425f7d28a82e6c32d13f14b48650c,10.3,31,31,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
17,'-UuX1xuaiiE,0,'-UuX1xuaiiE_0,^it's amazing to see their enthusiasm and their passion,2.6666667461395264,Positive,15,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-UuX1xuaiiE\0.mp4,1,654518,f578b305d53bc152702f5e771de0fcd12d1e9aaefc5cefce3d2082a417aab7c8,3.6333333333333333,10,10,50,50,72,20,20,ok,
18,'-UuX1xuaiiE,3,'-UuX1xuaiiE_3,My goal is to become a human rights lawyer,0.3333333432674408,Positive,16,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-UuX1xuaiiE\3.mp4,1,1424269,eddb408f25bdc13e6de2fb74caeed709cb7a8f00640e7897135330437f66a2aa,4.1,9,9,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
19,'-UuX1xuaiiE,6,'-UuX1xuaiiE_6,"I ended up going to work for the US government as an intelligence analyst, specializing in war crimes and human rights issues",-0.3333333432674408,Negative,17,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-UuX1xuaiiE\6.mp4,1,1662602,f0131ac00e44410fbd32c547a0d421c2791172434fc0203bb969abe14a530532,8.0,23,23,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
20,'-a55Q6RWvTA,3,'-a55Q6RWvTA_3,"And if you clip coupons, if you don't go out for dinner and movies and things of that nature and try to take up things in life that, well, they always say, ""the best things in life are free"". Reading a book, going for a nice walk, and, of course, combining exercise and various things of that nature where you're not spending money per se.",0.6666666865348816,Positive,18,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-a55Q6RWvTA\3.mp4,1,749365,15d029fc15f50b268b98f1e8abc65e45582e638c13a018d7aa74a18373275946,22.133333333333333,77,50,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
21,'-aNfi7CP8vM,7,'-aNfi7CP8vM_7,"Maybe they have no political party affiliation, they're not interested in politics, they could care less about politics.",0.0,Neutral,19,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-aNfi7CP8vM\7.mp4,1,430559,0b6389f45bb966113c65a11998c6e7facdd24c8c42acf2e8cf32e0f2139402e1,8.566666666666666,21,21,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
22,'-aqamKhZ1Ec,0,'-aqamKhZ1Ec_0,"In 2008, there were very serious tribal warfare in Kenya following a disputed election.",-2.0,Negative,20,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-aqamKhZ1Ec\0.mp4,1,2882018,6f6e674bbba4353399e9e7825217f37e6d8ca1adf9675f33cf37106f31c55548,10.966666666666667,16,16,50,50,72,20,20,ok,
23,'-dxfTGcXJoc,1,'-dxfTGcXJoc_1,"For the 10th straight year, some of Kentucky’s best and most innovative biotech companies and technologies were on display at the annual BIO International Convention, which I and other state officials attended this week in Chicago.",1.6666666269302368,Positive,21,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-dxfTGcXJoc\1.mp4,1,658423,b5ffdc98a4a98b8f0aae55dee5fed66a43bcb129f47a250a004c1cc74e572595,16.066666666666666,42,42,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
24,'-dxfTGcXJoc,0,'-dxfTGcXJoc_0,"This is Governor Steve Beshear ... About Kentucky Our state is home to more than 1,500 bioscience and lifescience companies and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices.",1.0,Positive,22,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-dxfTGcXJoc\0.mp4,1,771408,04bd0be907fb46c613f926fe1b06bc2c3b30881c293156510baa34a4105ade55,20.5,49,49,50,50,72,20,20,ok,
25,'-dxfTGcXJoc,2,'-dxfTGcXJoc_2,"An estimated 20,000 biotech scientists, executives and industry experts from more than 50 nations were at the BIO conference to learn about the latest scientific advances, and to exchange ideas and establish business relationships.",0.6666666865348816,Positive,23,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-dxfTGcXJoc\2.mp4,1,675725,46a5e523b5dd00364c99a3bcbc6fae4c80e1382a84b5b5e681c46eb074ed10f7,16.666666666666668,39,39,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
26,'-dxfTGcXJoc,6,'-dxfTGcXJoc_6,Kentucky’s participation at the annual BIO International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.,0.6666666865348816,Positive,24,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-dxfTGcXJoc\6.mp4,1,428971,55c1ff86729ab21da743a5107ed07b220e41b4193cd1c0ba9f009e65c3ab0513,12.7,32,32,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
27,'-egA8-b7-3M,26,'-egA8-b7-3M_26,We're updating it all the time and looking forward to your comments on our videos.,1.6666666269302368,Positive,25,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-egA8-b7-3M\26.mp4,1,688886,11f78aed680ea9c5862a15e04ff6c1f8776c46d29c98b68d28773ff39d959685,5.966666666666667,16,16,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
28,'-egA8-b7-3M,17,'-egA8-b7-3M_17,"As you have more experience, you have more times exhibiting, you get to know more people.",0.3333333432674408,Positive,26,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-egA8-b7-3M\17.mp4,1,774900,f967e81e0edd51c3700671721afb3fbecbbc32652f27d2db40ea444e8d80c68f,7.166666666666667,19,19,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
29,'-egA8-b7-3M,18,'-egA8-b7-3M_18,It becomes easier at each one of these conferences to connect with people that you've met or that you're doing business with.,1.0,Positive,27,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-egA8-b7-3M\18.mp4,1,737865,fd4bc95a6adfb16a9588b7ed65cc2812186ce3d607804dc76f4486312951ef90,8.333333333333334,23,23,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
30,'-egA8-b7-3M,16,'-egA8-b7-3M_16,"Third, another big benefit of exhibiting is connecting with existing clients.",0.6666666865348816,Positive,28,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-egA8-b7-3M\16.mp4,1,391465,4c015f85e3bd901ecedde8c0c2ca4a756d9a77dfe4177625c481581f2037ff9c,5.533333333333333,13,13,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
31,'-egA8-b7-3M,13,'-egA8-b7-3M_13,"What are you doing that's different?"" They always want an answer.",0.3333333432674408,Positive,29,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-egA8-b7-3M\13.mp4,1,394399,cbd627c225ebca37521ae238cb9ec254cad236822f4f37ebfbb039e6c56aea4c,4.1,14,14,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
32,'-egA8-b7-3M,1,'-egA8-b7-3M_1,I started a successful Legal Nurse Consulting Business in 1989. I mentor nurses who want to become Legal Nurse Consultants.,0.6666666865348816,Positive,30,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-egA8-b7-3M\1.mp4,1,658247,589a7989b1b4888568c31614a2d6beefba88fb87289c85b94df2d8051500403b,10.2,22,22,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
33,'-egA8-b7-3M,6,'-egA8-b7-3M_6,First exhibiting is a wonderful opportunity to network with other legal vendors.,0.6666666865348816,Positive,31,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-egA8-b7-3M\6.mp4,1,446118,2e88a00d5e55863aa956b4b0949fc0e4f2975ccfd83b3194957f6fca86ecfce0,6.233333333333333,13,13,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
34,'-egA8-b7-3M,9,'-egA8-b7-3M_9,"Secondly, another goal of exhibiting  is building your company image.",0.3333333432674408,Positive,32,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-egA8-b7-3M\9.mp4,1,581652,bcd643f328616312eae9b28e6c9aabbe8acaec3e4c4be58daeb45e3eee4d973c,5.0,12,12,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
35,'-egA8-b7-3M,20,'-egA8-b7-3M_20,"Now you've got a face that you can connect with a voice, and that makes you closer to that client.",0.3333333432674408,Positive,33,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-egA8-b7-3M\20.mp4,1,823539,719ef133920e74b3ea33925d2bca0270b062199116867568f88ac83cadcd74e8,6.533333333333333,22,22,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
36,'-iRBcNs9oI8,3,'-iRBcNs9oI8_3,"Well, it is the secret of power pose",0.6666666865348816,Positive,34,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-iRBcNs9oI8\3.mp4,1,988521,39c547acd1a8da2ebc6c6ab008191a5676420398a974cd9611cad087f0ccec50,5.572233333333333,9,9,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
37,'-iRBcNs9oI8,7,'-iRBcNs9oI8_7,"Well, for starters, let's look at the word ""power""",0.6666666865348816,Positive,35,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-iRBcNs9oI8\7.mp4,1,980176,cc7b1c7a06ec41d72007b5c42fb8036f30b66d5cf76e3f093160c22fc5e38081,4.0040000000000004,13,13,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
38,'-iRBcNs9oI8,6,'-iRBcNs9oI8_6,What is a power pose,0.3333333432674408,Positive,36,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-iRBcNs9oI8\6.mp4,1,1286164,030b0b8d8d4ae47799432ab71b66fcc881f077c5b0feef892c1f146dc0a592e3,2.8361666666666667,5,5,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
39,'-iRBcNs9oI8,9,'-iRBcNs9oI8_9,Power is similar to strength,1.3333333730697632,Positive,37,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-iRBcNs9oI8\9.mp4,1,1084122,352bdcc73d3622d6abac1b09f2039b211d15b9bf7acee66f0b07783c9b7a4c74,3.4034,5,5,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
40,'-iRBcNs9oI8,8,'-iRBcNs9oI8_8,"I've drawn this man here, and if you can tell, he has a lot of big muscles, he looks very strong",1.0,Positive,38,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-iRBcNs9oI8\8.mp4,1,1166371,72a49e3da2862addcde033bd2fbae957d086533664ca4dcbccd3a851bcd50412,8.041366666666667,24,24,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
41,'-lzEya4AM_4,5,'-lzEya4AM_4_5,"If it falls into oh any of those three categories, inducing nausea and vomiting would be your next step.",-0.6666666865348816,Negative,39,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-lzEya4AM_4\5.mp4,1,333185,3b74de8d0e66fd754594f05985e5af3480adcc03555f79225d3b727cb4bed043,7.633333333333334,21,21,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
42,'-lzEya4AM_4,6,'-lzEya4AM_4_6,"If the product or poison is some type of petroleum product or corrosive product, you would not attempt to induce vomiting and nausea, as as the product burned on the way down it could cause damage and burning on the way back up.",-0.3333333432674408,Negative,40,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-lzEya4AM_4\6.mp4,1,1088736,ff5da5afb551001d58100ed2471caea51c741046d5396957efbf40082307ca18,14.766666666666667,46,46,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
43,'-mJ2ud6oKI8,1,'-mJ2ud6oKI8_1,There are a dozen or more hands on techniques that we can do,0.0,Neutral,41,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-mJ2ud6oKI8\1.mp4,1,1040138,c8e3acb4ca08679796c4c8cdfcd8c2b3cffc0465015efaffa1eccdb55ff4f45b,6.072733333333334,13,13,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
44,'-mJ2ud6oKI8,2,'-mJ2ud6oKI8_2,So physical therapists and chiropractors will do joint manipulations and mobilizations,0.0,Neutral,42,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-mJ2ud6oKI8\2.mp4,1,1471617,c41790f8b75f886bd1f5d6d72cbab1985306d0b715e5ae47203f3d0c8a3e7b28,5.7057,11,11,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
45,'-mJ2ud6oKI8,6,'-mJ2ud6oKI8_6,They are all very safe,0.3333333432674408,Positive,43,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-mJ2ud6oKI8\6.mp4,1,562692,134a3a4ebbc423760133b0da0e90cfe84d75ea85df3968000afd84153c5d828d,2.2355666666666667,5,5,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
46,'-mJ2ud6oKI8,9,'-mJ2ud6oKI8_9,"It's safe and the person will feel better later on, but it's sort of like flossing your teeth for the first time",0.0,Neutral,44,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-mJ2ud6oKI8\9.mp4,1,1788453,df3442f3ed8f894b507923e87e426ae9636790a4a502d00c350a215270cc3e47,6.940266666666667,23,23,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
47,'-mJ2ud6oKI8,8,'-mJ2ud6oKI8_8,Sometimes we have to stretch that joint that is already irritated,-0.3333333432674408,Negative,45,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-mJ2ud6oKI8\8.mp4,1,1578317,6af6614c9838417a48c4817f4dd5bf1e6669eb5f78f983e9a68adc113fcdc7cc,4.170833333333333,11,11,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
48,'-mqbVkbCndg,0,'-mqbVkbCndg_0,"How, at a particular moment in time—our moment in time—are they limited",0.0,Neutral,46,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-mqbVkbCndg\0.mp4,1,517424,cdeba953bba30907814acf72f3e35582dec263eaa25bdd922dad7fafe02e4dda,6.466666666666667,17,17,50,50,72,20,20,ok,
49,'-t217m2on-s,2,'-t217m2on-s_2,"But a good thing to do is yawning, chewing gum is effective.",0.6666666865348816,Positive,47,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-t217m2on-s\2.mp4,1,282834,6713a983112173204502dc5adbb886bc6c38554b4627698611931420c47663a8,5.666666666666667,14,14,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
50,'-t217m2on-s,7,'-t217m2on-s_7,"If you find that your ears consistently do this and you can't pop them often, you'll definitely need to see a physician regarding those things, it could be something more of a nasal infection or a sinus infection that he would need to deal with.",-0.6666666865348816,Negative,48,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-t217m2on-s\7.mp4,1,648501,41c76b8a733ecb780d56348f55d00f0ba0c07f44f46e93044e62d876710180b7,17.066666666666666,48,48,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
51,'-tANM6ETl_M,3,'-tANM6ETl_M_3,"The first place is either you have a prospect, or a customer who's never done it before, or they've never tried it.",0.3333333432674408,Positive,49,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-tANM6ETl_M\3.mp4,1,1547930,6d3af064c060dad3816a9e1dfa00101faebd8b7da7d8ceea85b0bc0fca70abd6,6.666666666666667,25,25,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
52,'-tPCytz4rww,11,'-tPCytz4rww_11,"Make sure that your using comps that are not larger, no larger than twelve hundred square feet.",0.0,Neutral,50,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-tPCytz4rww\11.mp4,1,361198,6dc09d02467baaef67594ff32cffb01f8ed1565cda4c5abd161b8261a51e2e5d,5.466666666666667,19,19,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
53,'-tPCytz4rww,10,'-tPCytz4rww_10,Say twenty percent so if you've got a thousand square foot condo.,0.0,Neutral,51,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-tPCytz4rww\10.mp4,1,512248,758183192cbd5f0f20823d26ece3ddee40dec0aadec35247b2495510a53f52f8,4.733333333333333,13,13,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
54,'-tPCytz4rww,12,'-tPCytz4rww_12,"No less than eight hundred squire feet and going to similar in, similar with bedrooms and bathrooms as well and hopefully the complexes have similar amenities.",0.0,Neutral,52,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-tPCytz4rww\12.mp4,1,831948,e3c7f9cd67ad2d20fef997696dc278361f97f027db58762e22104e5720d509d5,11.766666666666667,28,28,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
55,'-tPCytz4rww,16,'-tPCytz4rww_16,So make sure to get a through or to do a through cleaning of the property.,0.0,Neutral,53,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-tPCytz4rww\16.mp4,1,550547,8b3f82f9628792eebaf8c227becc2ebeba59bb8abb668bcca86e07fb1a992a93,7.2,17,17,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
56,'-tPCytz4rww,18,'-tPCytz4rww_18,Do so and as well you'll also want to remove any clutter from that you've accumulated.,0.0,Neutral,54,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-tPCytz4rww\18.mp4,1,625292,eece70451e9c37a4b5f375bf646f66e09113fe3467f35bf1720cc14d986c1776,6.633333333333334,17,17,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
57,'-vxjVxOeScU,4,'-vxjVxOeScU_4,"You're going to talk about their life, their marriage and usually how amazing it is that they've stayed together this long.",1.0,Positive,55,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-vxjVxOeScU\4.mp4,1,431202,00282df9a314394f19d616d561bd1916d1d30dca4c814dfb43630ca164f4c719,9.066666666666666,23,23,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
58,'-wMB_hJL-3o,7,'-wMB_hJL-3o_7,So if you have a loved one who is depressed those are some of the things that you should think about doing.,0.3333333432674408,Positive,56,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-wMB_hJL-3o\7.mp4,1,264692,04a73d73fd150b07edab8e652fd14c9cb4a0f6e017ea97b17e8146e377b9fae7,6.033333333333333,23,23,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
