sample_id,video_id,clip_id,text,label,annotation
'-iRBcNs9oI8_8,'-iRBcNs9oI8,8,"I've drawn this man here, and if you can tell, he has a lot of big muscles, he looks very strong",1.0,Positive
'-lzEya4AM_4_5,'-lzEya4AM_4,5,"If it falls into oh any of those three categories, inducing nausea and vomiting would be your next step.",-0.6666666865348816,Negative
'-lzEya4AM_4_6,'-lzEya4AM_4,6,"If the product or poison is some type of petroleum product or corrosive product, you would not attempt to induce vomiting and nausea, as as the product burned on the way down it could cause damage and burning on the way back up.",-0.3333333432674408,Negative
'-mJ2ud6oKI8_1,'-mJ2ud6oKI8,1,There are a dozen or more hands on techniques that we can do,0.0,Neutral
'-mJ2ud6oKI8_2,'-mJ2ud6oKI8,2,So physical therapists and chiropractors will do joint manipulations and mobilizations,0.0,Neutral
'-mJ2ud6oKI8_6,'-mJ2ud6oKI8,6,They are all very safe,0.3333333432674408,Positive
'-mJ2ud6oKI8_9,'-mJ2ud6oKI8,9,"It's safe and the person will feel better later on, but it's sort of like flossing your teeth for the first time",0.0,Neutral
'-mJ2ud6oKI8_8,'-mJ2ud6oKI8,8,Sometimes we have to stretch that joint that is already irritated,-0.3333333432674408,Negative
'-mqbVkbCndg_0,'-mqbVkbCndg,0,"How, at a particular moment in time—our moment in time—are they limited",0.0,Neutral
'-t217m2on-s_2,'-t217m2on-s,2,"But a good thing to do is yawning, chewing gum is effective.",0.6666666865348816,Positive
'-t217m2on-s_7,'-t217m2on-s,7,"If you find that your ears consistently do this and you can't pop them often, you'll definitely need to see a physician regarding those things, it could be something more of a nasal infection or a sinus infection that he would need to deal with.",-0.6666666865348816,Negative
'-tANM6ETl_M_3,'-tANM6ETl_M,3,"The first place is either you have a prospect, or a customer who's never done it before, or they've never tried it.",0.3333333432674408,Positive
'-tPCytz4rww_11,'-tPCytz4rww,11,"Make sure that your using comps that are not larger, no larger than twelve hundred square feet.",0.0,Neutral
'-tPCytz4rww_10,'-tPCytz4rww,10,Say twenty percent so if you've got a thousand square foot condo.,0.0,Neutral
'-tPCytz4rww_12,'-tPCytz4rww,12,"No less than eight hundred squire feet and going to similar in, similar with bedrooms and bathrooms as well and hopefully the complexes have similar amenities.",0.0,Neutral
'-tPCytz4rww_16,'-tPCytz4rww,16,So make sure to get a through or to do a through cleaning of the property.,0.0,Neutral
'-tPCytz4rww_18,'-tPCytz4rww,18,Do so and as well you'll also want to remove any clutter from that you've accumulated.,0.0,Neutral
'-vxjVxOeScU_4,'-vxjVxOeScU,4,"You're going to talk about their life, their marriage and usually how amazing it is that they've stayed together this long.",1.0,Positive
'-wMB_hJL-3o_7,'-wMB_hJL-3o,7,So if you have a loved one who is depressed those are some of the things that you should think about doing.,0.3333333432674408,Positive
'-wny0OAz3g8_1,'-wny0OAz3g8,1,"And because they couldn’t join unions, many Black workers couldn’t get manufacturing or trade work – which paid much better than service work",0.3333333432674408,Positive
'-wny0OAz3g8_0,'-wny0OAz3g8,0,trade labor unions didn’t allow Black workers to join,0.3333333432674408,Positive
'-wny0OAz3g8_3,'-wny0OAz3g8,3,Which then allowed the white workers and unions to justify their decision to not allow black workers into their union,-1.3333333730697632,Negative
'-wny0OAz3g8_2,'-wny0OAz3g8,2,"And because they couldn’t get these jobs, Black communities had more men out of work, higher rates of poverty, and more criminal behavior",-0.3333333432674408,Negative
'-wny0OAz3g8_5,'-wny0OAz3g8,5,"This is what’s now known as racial formation theory, a theory formalized by modern sociologists Michael Omi and Howard Winant",1.0,Positive
'-wny0OAz3g8_7,'-wny0OAz3g8,7,Omi and Winant argue that the concept of race came about as a tool to justify and maintain the economic and political power held by those of European descent,0.0,Neutral
'-wny0OAz3g8_9,'-wny0OAz3g8,9,"He explores why Black and White Americans tend to have such different outcomes in terms of income, education, and more",0.6666666865348816,Positive
'-571d8cVauQ_0,'-571d8cVauQ,0,"This is Rhett Reiger, White Caspian Studios on behalf of Expert Village.",0.0,Neutral
'-571d8cVauQ_5,'-571d8cVauQ,5,"So very important to go out to the locations, walk around, talk with the owners if you can, tell them what you're doing, build a little excitement, put a little glitz on there and let everybody knows this is a very valuable spot.",0.3333333432674408,Positive
'-I_e4mIh0yE_1,'-I_e4mIh0yE,1,In the United States we don't punish failure to the degree to which failure is punished in Europe.,-0.6666666865348816,Negative
'-I_e4mIh0yE_3,'-I_e4mIh0yE,3,"It's perceived that you have actually learned something, over the course of your carreer, and that you won't make the mistake twice.",0.6666666865348816,Positive
'-UacrmKiTn4_10,'-UacrmKiTn4,10,"Because, if they are not in any way held accountable for reading the material they won't do it.",-0.6666666865348816,Negative
'-UacrmKiTn4_4,'-UacrmKiTn4,4,Just given to their own devices they are not going to read the textbook.,-1.3333333730697632,Negative
'-hnBHBN8p5A_7,'-hnBHBN8p5A,7,"Picture this, before we actually start hacking, we’re in a room formal setting",0.6666666865348816,Positive
'-hnBHBN8p5A_6,'-hnBHBN8p5A,6,"Discussion, how to discuss ideas and opinions more effectively than a native speaker",1.0,Positive
'-qDkUB0GgYY_6,'-qDkUB0GgYY,6,"We always love to hear what you say, and like and share this video as well.",1.3333333730697632,Positive
'-uywlfIYOS8_4,'-uywlfIYOS8,4,"And then from a brand point of view, we need to make sure we're driving the relevant insight.",0.3333333432674408,Positive
'-6rXp3zJ3kc_8,'-6rXp3zJ3kc,8,Many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value.,-1.0,Negative
'-9y-fZ3swSY_0,'-9y-fZ3swSY,0,"is, you can say, hey I really like baby skin, they are so soft, they don’t have any hair on their face",1.0,Positive
'-9y-fZ3swSY_4,'-9y-fZ3swSY,4,I’ve seen this in US or in the US,0.0,Neutral
'-9y-fZ3swSY_8,'-9y-fZ3swSY,8,That’s a more decent and more polite way to call a lady,1.6666666269302368,Positive
'-AUZQgSxyPQ_2,'-AUZQgSxyPQ,2,"The perfect soul mate to the Clarisonic Spot Therapy Brush, this gentle, Ph balanced and hydrating exfoliant containing jojoba and acai fruit oils and bamboo and prickly bear extracts deliver intense healing, while smooth granules buff away dead, dry skin cells.",0.6666666865348816,Positive
'-HeZS2-Prhc_2,'-HeZS2-Prhc,2,The August jobs report is out and it was seen overall as solid but not great.,0.6666666865348816,Positive
'-MeTTeMJBNc_0,'-MeTTeMJBNc,0,"Okay, what happens at this point after we've taken this brief walk down memory lane, is the presentation of the gift.",0.3333333432674408,Positive
'-MeTTeMJBNc_13,'-MeTTeMJBNc,13,"It just needs to be a simple statement, and then you present the gift.",0.3333333432674408,Positive
'-MeTTeMJBNc_7,'-MeTTeMJBNc,7,"Maybe you could find a picture of the couple from their wedding or sometime in their life, or maybe even a current picture and have it put in a beautiful frame.",1.3333333730697632,Positive
'-RfYyzHpjk4_11,'-RfYyzHpjk4,11,"So get your friends lined up, get your business colleagues lined up and have a good time.",2.0,Positive
'-RfYyzHpjk4_8,'-RfYyzHpjk4,8,"It's pretty, pretty easy to do but you got to set up those numbers ahead of time.",0.3333333432674408,Positive
'-RfYyzHpjk4_2,'-RfYyzHpjk4,2,"You can make a conference call but it takes quite a bit of planning, well not a lot of planning it's pretty easy to do.",0.3333333432674408,Positive
'-UUCSKoHeMA_0,'-UUCSKoHeMA,0,"I mentioned a word in the last clip called 'monotone', and I want to talk about that briefly.",0.0,Neutral
'-ri04Z7vwnc_0,'-ri04Z7vwnc,0,going to get married or are already married,0.0,Neutral
'-ri04Z7vwnc_2,'-ri04Z7vwnc,2,"most people think it'll sort itself out, ""we'll discuss it later,"" it's not something too important",-0.3333333432674408,Negative
'-ri04Z7vwnc_5,'-ri04Z7vwnc,5,""" So I think it's important to discuss finances",0.3333333432674408,Positive
'-s9qJ7ATP7w_1,'-s9qJ7ATP7w,1,"But the hardest thing in life to learn, is to lose",0.6666666865348816,Positive
'-s9qJ7ATP7w_0,'-s9qJ7ATP7w,0,"they have doubt, they have fear, they lose in a Ferrari race, or they lose in a race, and then they just give up",-0.3333333432674408,Negative
'-s9qJ7ATP7w_5,'-s9qJ7ATP7w,5,"I have been beat up and put down and everything that can go wrong, has gone wrong for me",-2.0,Negative
'-s9qJ7ATP7w_4,'-s9qJ7ATP7w,4,"I have lost at everything you can imagine, seriously",0.0,Neutral
'-s9qJ7ATP7w_7,'-s9qJ7ATP7w,7,"I used to work for Warren Avis, the guy who started Avis Rent a Car, and he said to me one day, ""Robert, ""what's the purpose of business",1.0,Positive
'-s9qJ7ATP7w_6,'-s9qJ7ATP7w,6,But I just kept going,0.0,Neutral
'-s9qJ7ATP7w_8,'-s9qJ7ATP7w,8,""" And I said, ""Oh, make a profit, and all these other things",1.3333333730697632,Positive
'-yRb-Jum7EQ_1,'-yRb-Jum7EQ,1,"it comes with the assistance and agitation of states and regimes, Yesterday Iran announced that it will finance the families of the terrorists and murderers this shows that Iran, even after the nuclear agreement, is continuing to aid terrorism, including Palestinian terrorism, Hezbollah terrorism and its assistance to Hamas.",0.0,Neutral
'-yRb-Jum7EQ_5,'-yRb-Jum7EQ,5,"Yesterday Eliav Gelman lost his life in another terrorist attack, not by the students of terrorism, but by those who teach terrorism, a Palestinian teacher.",-0.6666666865348816,Negative
'-yRb-Jum7EQ_6,'-yRb-Jum7EQ,6,"Therefore, the world needs to stand with Israel against this incitement, which is the number one cause of terrorism.",0.0,Neutral
